name_track,name_artist,genre,type,year
Los del Espacio,LIT killah,hip-hop,track,2023
Mamichula - con Nicki Nicole,Trueno,hip-hop,track,2020
"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,hip-hop,track,2024
"Milo J: Bzrp Music Sessions, Vol. 57",Bizarrap,hip-hop,track,2023
No soy Eterno,Bizarrap,hip-hop,track,2023
Tal Vez,Paulo Londra,hip-hop,track,2019
Hasta Aquí Llegué,Nanpa Básico,hip-hop,track,2024
Not Like Us,Kendrick Lamar,hip-hop,track,2024
Fruto,Bizarrap,hip-hop,track,2023
Con Calma,Daddy Yankee,hip-hop,track,2019
Godzilla (feat. Juice WRLD),Eminem,hip-hop,track,2020
"BESAME (feat. Tiago PZK, Khea & Neo Pistea) - Remix",Bhavi,hip-hop,track,2024
FLECHAZO EN EL CENTRO,YSY A,hip-hop,track,2023
Nena Maldición (feat. Lenny Tavárez),Paulo Londra,hip-hop,track,2019
Sprinter,Dave,hip-hop,track,2023
Ojos Verdes,Nicki Nicole,hip-hop,track,2024
STAY (with Justin Bieber),The Kid LAROI,hip-hop,track,2021
NIGHTS LIKE THIS,The Kid LAROI,hip-hop,track,2023
Princesa,Paulo Londra,hip-hop,track,2024
Houdini,Eminem,hip-hop,track,2024
La bandite,Jul,hip-hop,track,2019
KEHLANI,Jordan Adetunji,hip-hop,track,2024
Fair Trade (with Travis Scott),Drake,hip-hop,track,2021
Type Shit,Future,hip-hop,track,2024
Casanova,Soolking,hip-hop,track,2023
Big Dawgs,Hanumankind,hip-hop,track,2024
What You Know Bout Love,Pop Smoke,hip-hop,track,2020
Like That,Future,hip-hop,track,2024
WAIT FOR U (feat. Drake & Tems),Future,hip-hop,track,2022
BLUE LOVE,ElGrandeToto,hip-hop,track,2023
Circadian Rhythm,Drake,hip-hop,track,2024
Mood Swings (feat. Lil Tjay),Pop Smoke,hip-hop,track,2020
on one tonight,Gunna,hip-hop,track,2024
SPIDER,GIMS,hip-hop,track,2024
Dior,Pop Smoke,hip-hop,track,2019
Houdini,Eminem,hip-hop,track,2024
The Color Violet,Tory Lanez,hip-hop,track,2021
EARFQUAKE,"Tyler, The Creator",hip-hop,track,2019
I Smoked Away My Brain (I'm God x Demons Mashup) (feat. Imogen Heap & Clams Casino),A$AP Rocky,hip-hop,track,2023
Jimmy Cooks (feat. 21 Savage),Drake,hip-hop,track,2022
redrum,21 Savage,hip-hop,track,2024
fukumean,Gunna,hip-hop,track,2023
BABY I'M BACK,The Kid LAROI,hip-hop,track,2024
CÓMO CHILLA ELLA,YSY A,hip-hop,track,2022
Sous la lune,Jul,hip-hop,track,2019
"Hip Hop Symphony. Space Hunter, (Galactic Ballroom)",Genres Masters of Music,hip-hop,album,2021
Genre Battles (Phonk v. Hip-Hop),Minecrafters382,hip-hop,album,2024
A New Perspective on the Genre of Hip Hop,Dream Infused Hip Hop,hip-hop,album,2023
Alibi (with Pabllo Vittar & Yseult),Sevdaliza,electronic,track,2024
"Ride Or Die, Pt. 2 (with Villano Antillano & Tokischa)",Sevdaliza,electronic,track,2024
Loco Contigo (feat. J. Balvin & Tyga),DJ Snake,electronic,track,2019
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,electronic,track,2019
Hollow (feat. Bonn),MORTEN,electronic,track,2024
Wake Me Up In Paris,Anthony Keyrouz,electronic,track,2020
El Día Que Nací Yo,Rodrigo Cuevas,electronic,track,2019
Cicuta - Remix,Peces Raros,electronic,track,2022
